大越史記本紀實録卷之十一	Đại Việt sử ký bản kỷ thực lục quyển chi thập nhất.
鳴呼若帝者可謂存心制治矣	Minh hô! nhược đế giả khả vị tồn tâm chế trị hĩ.
仁宗皇帝諱󰘊基太宗第三子也母宣慈皇后阮氏諱英清化東山布衛人	Nhân Tông Hoàng Đế [Huý Bang Cơ, Thái Tông đệ tam tử dã, mẫu Tuyên Từ Hoàng hậu Nguyễn thị, huý Anh, Thanh Hoá, Đông Sơn, Bố Vệ nhân.
帝太以大寶二年辛酉六月九日甲戌誕生	Đế Thái dĩ Đại Bảo nhị niên, Tân Dậu, lục nguyệt, cửu nhật, Giáp Tuất đản sinh.
三年六月六日立為皇太子	Tam niên lục nguyệt, lục nhật, lập vi Hoàng thái tử.
八月十二日即位改太和以誕日為一十九塟穆陵	Bát nguyệt, thập nhị nhật, tức vị, cải Thái Hoà, dĩ đản nhật vi nhất thập cửu, táng Mục Lăng.
憲天聖節	Hiến Thiên thánh tiết.
在位十七年壽帝以童稚之年有天資明神釆端俊容止莊重崇儒納諫憫農真守成之令主也不幸遭於簒弑悲夫	Tại vị thập thất niên, thọ Đế dĩ đồng trĩ chi niên hữu thiên tư minh, thần thái đoan tuấn, dung chỉ trang trọng, sùng nho nạp gián, mẫn nông chân thủ thành chi lệnh chủ dã, bất hạnh tao ư soán thí bi phu!.
爱民癸亥太和元年明正統八年	ái dân, Quý Hợi Thái Hoà nguyên niên [Minh Chính Thống bát niên ].
春正月初八日酉時有星隕于南方	Xuân chính nguyệt sơ bát nhật Dậu Thời hữu tinh vẫn vu Nam phương.
時帝年三歲因請太后垂簾聽政權决國事	Thời đế niên tam tuế, nhân thỉnh Thái hậu thuỳ liêm thính chính quyền, quyết quốc sự.
二月初二日詔曰此者皇天示变星隕地震	Nhị nguyệt, sơ nhị nhật, chiếu viết: "Thử giả Hoàng thiên thị biến, tinh vẫn, địa chấn.
朕甚優惧思所以致此者其知其由	Trẫm thậm ưu cụ, tư sở dĩ trí thử giả kì tri kì do.
抑朕臨政之	Ức trẫm lâm chính chi..
初未䏻輕徭薄賦事有不便於民󰊹將輔國大臣爕理失宜隂陽乖和而致然󰊹將獄訟七當賄賂公行刑多寬濫而𦤶然󰊹將守令未得其人率行非法擾害民間而致然󰊹將怨女未出有傷和氣而致然󰊹抑讒夫猾謀功臣受屈未能伸雪而致然󰊹將土木興而宫室崇󰊹小人進而君子退󰊹言路塞兒上澤壅󰊹	sơ, vị năng khinh giao bạc phú, sự hữu bất tiện ư dân dư? Tương phụ quốc đại thần nhiếp lí thất nghi âm dương quai hoà nhi trí nhiên dư? Tương ngục tụng thất đáng, hối lộ công hành, hình đa khoan lạm nhi trí nhiên dư? Tương thủ lệnh vị đắc kì nhân suất hành phi pháp, nhiễu hại dân gian nhi trí nhiên dư? Tương oán nữ vị xuất hữu thương hoà khí nhi trí nhiên dư? Ức sàm phu hoạt mưu công thần thụ khuất vị năng thân tuyết nhi trí nhiên dư? Tương thổ mộc hưng nhi cung thất sùng dư? Tiểu nhân tiến nhi quân tử thoái dư? Ngôn lộ tắc nhi thượng trạch ung dư?.
女謁行而私門啓󰊹其令有司軍人等各盡乃心條其可以回天心弭災變者直言無隐以匡朕之不逮	Nữ yết hành nhi tư môn khải dư? Kì lệnh hữu tư quân nhân đẳng các tận nãi tâm điều kì khả dĩ hồi thiên tâm, nhĩ tai biến giả, trực ngôn, vô ẩn, dĩ khuông trẫm chi bất đãi".
有赤竜入大全海口	Hữu xích long nhập Đại Toàn hải khẩu.
三月十六日頒御名基皇太后諱英二字并廟諱凣七	Tam nguyệt, thập lục nhật, ban: ngự danh Cơ, Hoàng thái hậu huý Anh nhị tự, tịnh miếu huý phàm thất.
夏四月竜見同賴縣壑渡	Hạ tứ nguyệt long hiện Đồng Lại huyện Hác độ.
五月地震	Ngũ nguyệt địa chấn.
望月有食之	Vọng nguyệt hữu thực chi.
六月以生日為憲天聖節	Lục nguyệt dĩ sinh nhật vi Hiến Thiên thánh tiết.
冬十月帝釋服穿皇袍御正殿視朝	Đông thập nguyệt, đế thích phục, xuyên Hoàng bào, ngự chính điện thị triều.
百官穿本等常服以百官上言據太史院陰陽灾異等事乞釋服從吉故也	Bách quan xuyên bản đẳng thường phục, dĩ bách quan thượng ngôn cứ thái sử viện âm dương tai dị đẳng sự khất thích phục tòng cát cố dã.
十一月明遣正使行人司行人程璥來致祭	Thập nhất nguyệt Minh khiển chánh sứ hành nhân ti hành nhân Trình Cảnh lai trí tế.
十六日遣御史中丞何甫翰林院知制誥阮如堵御前學生局長梁如鵠等如明謝致祭	Thập lục nhật, Khiển Ngự sử trung thừa Hà Phủ, Hàn lâm viện tri chế cáo Nguyễn Như Đổ, Ngự tiền học sinh cục trưởng Lương Như Hộc đẳng như Minh tạ trí tế.
二十五日明遣正使光祿寺少卿宗傑副使兵科都給事中薜謙來封帝為安南國王	Nhị thập ngũ nhật, Minh khiển chánh sứ Quang lộc tự thiếu khanh Tông Kiệt, Phó sứ binh khoa đô cấp sự trung Tiết Khiêm lai phong đế vi An Nam Quốc Vương.
二十六日遣參知簿籍程昱内密院正掌程清翰林院直𭓇阮克孝如明謝勅封	Nhị thập lục nhật, khiển Tham tri bộ tịch Trình Dục, Nội mật viện chánh chưởng Trình Thanh, Hàn lâm viện trực học Nguyễn KHắc Hiếu như Minh tạ sắc phong.
甲子二年明正統九年	Giáp Tí nhị niên [Minh Chính Thống cửu niên ].
春正月選補軍族	Xuân chính nguyệt tuyển bổ quân tộc.
考試士人充各司屬掾	Khảo thí sĩ nhân sung các ti thuộc duyện.
攅造户籍	Toàn tạo hộ tịch.
夏五月占城主賁該㓂化州城虜掠人民	Hạ ngũ nguyệt, Chiêm Thành chủ Bí Cai khấu Hoá Châu thành lỗ lược nhân dân.
命入内檢校太保黎盃總管黎可領兵十萬征之	Mệnh Nhập nội kiểm hiệu Thái bảo Lê Bôi, Tổng quản Lê Khả lĩnh binh thập vạn chinh chi.
秋七月囚太傅黎列	Thu thất nguyệt, tù Thái phó Lê Liệt.
冬十月地震日有食之	Đông thập nguyệt, địa chấn, nhật hữu thực chi.
月食	Nguyệt thực.
十一月遣使如明	Thập nhất nguyệt, khiển sứ như Minh.
左侍郎陶公僎御前震雷軍旨揮黎造歲貢	Tả thị lang Đào Công Soạn, Ngự tiền chấn lôi quân chỉ huy Lê Tạo tuế cống.
東道參知阮蘭奏欽州地方事	Đông đạo tham tri Nguyễn Lan tấu Khâm châu địa phương sự.
乙丑三年明正統十年	Ất Sửu tam niên [Minh Chính Thống thập niên ].
春正月命文臣督天下各處軍𮢶清化路諸港	Xuân chính nguyệt, mệnh văn thần đốc thiên hạ các xứ quân tạc Thanh Hoá lộ chư cảng.
夏四月占城入㓂化州安容城	Hạ tứ nguyệt, Chiêm Thành nhập khấu Hoá châu An Dung thành.
五月遇洪水大敗	Ngũ nguyệt, ngộ hồng thuỷ đại bại.
六月封皇弟思誠為平原王	Lục nguyệt, phong Hoàng đệ Tư Thành vi Bình Nguyên Vương.
二十五日命入内檢校司徒平章事黎慎入内都督黎熾等伐占城	Nhị thập ngũ nhật, mệnh Nhập nội kiểm hiệu tư đồ bình chương sự Lê Thận, Nhập nội đô đốc Lê Xí đẳng phạt Chiêm Thành.
冬十月以灾異下詔曰朕位在德元未知世務是故此年以來灾異相仍雷霆屡作霖雨過度洚水漲溢防堤衝潰而󰱧下民之屋盧螟螣滋生而害浦田之和稼	Đông thập nguyệt, dĩ tai dị, hạ chiếu viết: "Trẫm vị tại đức nguyên vị tri thế vụ, thị cố thử niên dĩ lai, tai dị tương nhưng, lôi đình lũ tác, lâm vũ quá độ, hồng thuỷ trướng dật, phòng đê xung hội, nhi hoại hạ dân chi ốc lư, minh đặc tư sinh nhi hại bồ điền chi hoà giá.
潭池塌塞桑菜渰󰊦	Đàm trì tháp tắc, tang thái yêm cảo.
抑時政有闕而傷天地之和獄訟失當而有陰陽之變欲消在穹之譴宜推宥下之恩	Ức thời chính hữu khuyết nhi thương thiên địa chi hoà? Ngục tụng thất đáng nhi hữu âm dương chi biến? Dục tiêu tại cùng chi khiển nghi suy hựu hạ chi ân.
其寬條饒税	Kì khoan điều nhiêu thuế,..
减罪各有等差	giảm tội các hữu đẳng sai".
是月以入内少傅參預朝政黎克復男黎伯崖為駙馬都尉尙皇弟二女安南公主	Thị nguyệt, dĩ nhập nội thiếu phó tham dự triều chính Lê Khắc Phục nam Lê Bá Nhai vi phò mã đô uý, thượng hoàng đệ nhị nữ An Nam công chủ.
入内都督黎熾有罪帝將明示刑章以熾係勳舊且從入議之宜罷聀	Nhập nội đô đốc Lê Xí hữu tội, đế tương minh thị hình chương, dĩ xí hệ huân cựu thả tòng nhập nghị chi, nghi bãi chức.
七日洪水漲入城中髙三尺禾榖淹損三分之一	Thất nhật, hồng thuỷ trướng nhập thành trung, cao tam xích, hoà cốc yêm tổn, tam phần chi nhất.
十二月命平章事黎可領兵伐占城	Thập nhị nguyệt, mệnh bình chương sự Lê Khả lĩnh binh phạt Chiêm Thành.
丙寅四年明正統十一年	Bính Dần tứ niên [Minh Chính Thống thập nhất niên].
春正月大會軍期選壯者征占城	Xuân chính nguyệt, đại hội quân kì, tuyển tráng giả chinh Chiêm Thành.
遣民運糧就河華縣收貯	Khiển dân vận lương tựu Hà Hoa huyện thu trữ.
二十二日命入	Nhị thập nhị nhật, mệnh Nhập..
内都督平章黎受黎可入内少傅參預朝政黎克復等領兵六十餘萬征占城	nội đô đốc bình chương Lê Thụ, Lê Khả, NHập nội thiếu phó tham dự triều chính Lê Khắc Phục đẳng lĩnh binh lục thập dư vạn chinh Chiêm Thành.
帝以占城主賁該再三傾國入寇故命征之	Đế dĩ Chiêm Thành chủ Bí Cai tái tam khuynh quốc nhập khấu, cố mệnh chinh chi.
二月八日遣使如明海西道參知簿籍阮叔惠奏竜州地方事	Nhị nguyệt bát nhật khiển sứ như Minh: Hải Tây đạo tham tri bạ tịch Nguyễn Thúc Huệ tấu Long Châu địa phương sự.
同知審刑院事程鎮清威縣轉運使阮廷美奏占城事	Đồng tri thẩm hình viện sự Trình Trấn, Thanh Oai huyện Chuyển vận sứ Nguyễn Đình Mĩ tấu Chiêm Thành sự.
二十三日黎受等諸軍至占城離江多郎古壘等䖏開通水路築立城堡𭁈賊相戰大破之乘勝直抵尸耐海口	Nhị thập tam nhật, Lê Thụ đẳng chư quân chí Chiêm Thành Li Giang, Đa Lang, Cổ Luỹ đẳng xứ khai thông thuỷ lộ, trúc lập thành bảo dữ tặc tương chiến, đại phá chi, thừa thắng trực để Thi Nại hải khẩu.
夏四月二十五日黎受等諸軍攻茶盤城大破之	Hạ tứ nguyệt, nhị thập ngũ nhật, Lê Thụ đẳng chư quân công Trà Bàn thành đại phá chi,..
擒其主賁該及妃嬪部属馬象戰噐并降將乃𤤻師	cầm kì chủ Bí Cai cập phi tần bộ thuộc, mã tượng chiến khí, tịnh hàng tướng nãi ban sư.
占城故國主布提姪麻訶貴來先降差其臣制𠧨麻叔婆被等來朝奉表稱臣乞立為王	Chiêm Thành cố quốc chủ Bố Đề điệt Ma Ha Quý lai tiên hàng, sai kì thần Chế Cữu, Ma Thúc, Bà Bị đẳng lai triều phụng biểu xưng thần, khất lập vi vương.
六月以占城國主賁該献捷于太廟	Lục nguyệt, dĩ Chiêm Thành quốc chủ Bí Cai hiến tiệp vu Thái miếu.
大赦天下	Đại xá thiên hạ.
留占城主賁該及妃嬪三人于京城	Lưu Chiêm Thành chủ Bí Cai cập phi tần tam nhân vu kinh thành.
遣使索取占人原在京城者送占左右及占降將還國	Khiển sứ sách thủ Chiêm nhân nguyên tại kinh thành giả tống Chiêm tả hữu cập Chiêm hàng tướng hoàn quốc.
秋九月十九日遣海西參知簿籍阮宗仁政事院同參議程私毅如明告往年占城入㓂事	Thu cửu nguyệt, thập cửu nhật, khiển Hải Tây tham tri bạ tịch Nguyễn Tông NHân, Chính sự viện đồng tham nghị Trình Tư Nghị như Minh cáo vãng niên Chiêm Thành nhập khấu sự.
丁卯五年明政統十二年	Đinh Mão ngũ niên [Minh Chính Thống thập nhị niên].
秋七月詔曰引𠧨責躬惟至誠	Thu thất nguyệt, Chiếu viết: "Dẫn cữu trách cung, duy chí thành..
之能感救灾恤患㔫仁政之所先	chi năng cảm; cứu tai tuất hoạn, vưu nhân chính chi sở tiên.
朕自即位以來天灾流行百姓难食	Trẫm tự tức vị dĩ lai, thiên tai lưu hành, bách tính nan thực.
此者以令該衙門條其可便於軍民者擇釆施行仍令汰出幽閉宫女	Thử giả dĩ lệnh cai nha môn điều kì khả tiện ư quân dân giả trạch thái thi hành, nhưng lệnh thải xuất u bế cung nữ.
該道具奏該内民瘼等事	Cai đạo cụ tấu cai nội dân mạc đẳng sự.
九月二十九日遣使如明御史中丞何甫為正使密刑院同知丁蘭副之歲貢及奏欽州地方事	Cửu nguyệt, nhị thập cửu nhật, khiển sứ như Minh: Ngự sử trung thừa Hà Phủ vi chánh sứ, Mật hình viện đồng tri Đinh Lan phó chi tuế cống cập tấu Khâm châu địa phương sự.
殿中侍御史程馭為副使奏竜州地方事	Điện trung thị ngự sử Trình Ngự vi phó sứ tấu Long châu địa phương sự.
戊辰六年明正統十三年	Mậu Thìn lục niên [Minh Chính Thống thập tam niên].
春正月以東知東道簿籍黎希葛為尙書右司郎中參知南道簿籍内密院副	Xuân chính nguyệt, dĩ Đông tri Đông đạo bạ tịch Lê Hi Cát vi Thượng thư hữu ti lang trung; Tham tri Nam đạo bạ tịch Nội mật viện phó..
使黄清為翰林院侍讀知御前學生局翰林院侍講程封侍經筵	sứ Hoàng Thanh vi Hàn lâm viện thị độc tri ngự tiền học sinh cục; Hàn lâm viện thị giảng Trần Phong thị kinh diên.
以管領阮宗磊為中北江衛同知三󰅾路鎮撫使黎阿衡為太原上伴經畧使	Dĩ quản lĩnh Nguyễn Tông Lỗi vi Trung bắc giang vệ đồng tri; Ttam Đái lộ trấn phủ sứ Lê A Hành vi Thái Nguyên thượng bạn kinh lược sứ.
二月以少保黎抄子黎壽域為近侍三局正掌	Nhị nguyệt, dĩ Thiếu Bảo Lê Sao tử Lê Thọ Vực vi cận thị tam cục chánh chưởng.
復禮州司空刁孟旺有罪賜死	Phục Lễ châu Tư không Đèo Mạnh Vượng hữu tội tứ tử.
仍遣入内司馬黎醯領兵五天人護送孟旺二弟遙授招討使知復禮州代領孟旺之眾并籍没孟旺家産	Nhưng khiển Nhập nội tư mã Lê Ê lĩnh binh ngũ thiên nhân hộ tống Mạnh Vượng nhị đệ dao thụ Chiêu thảo sứ, tri Phục Lễ châu đại lĩnh Mạnh Vượng chi chúng tịnh tịch một Mạnh Vượng gia sản.
孟旺素㓙暴人不歸心陰使人毒殺其部黨部黨	Mạnh Vượng tố hung bạo, nhân bất quy tâm, âm sử nhân độc sát kì bộ đảng, bộ đảng..
而黎醯善於慰撫秋毫無犯按堵如故州人大悅	Nhi Lê Ê thiện ư uý phủ, thu hào vô phạm, án đổ như cố, châu nhân đại duyệt.
東邉訛言明使來會勘邉𪽐	Đông biên ngoa ngôn Minh sứ lai hội khám biên giới.
帝命東道參知程昱前往體探虚實還報	Đế mệnh Đông đạo tham tri Trình Dục tiền vãng thể thám hư thực hoàn báo.
昱到邉曾無審訪聽信行路人言即回奏有北方欽差二司官暨廣東鎮守總兵管領兵馬來甚眾	Dục đáo biên tằng vô thẩm phỏng thính tín hành lộ nhân ngôn tức hồi tấu hữu Bắc phương khâm sai nhị tư quan kị Quảng Đông trấn thủ tổng binh quản lĩnh binh mã lai thậm chúng.
帝命司㓂黎克復左右納言阮夢荀阮文富右司侍郎陶公僎中丞何栗并西道參同知阮叔惠阮蘭裴擒虎程昱	Đế mệnh Tư khấu Lê KHắc Phục, tả hữu nạp ngôn Nguyễn Mộng Tuân, Nguyễn Văn Phú, hữu ti thị lang Đào Công Soạn, Trung thừa Hà Lật tịnh Tây đạo tham đồng tri Nguyễn Thúc Huệ, Nguyễn Lan, Bùi Cầm Hổ, Trình Dục..
莫不仇怨	mạc bất cừu oán.
至是聞官軍至爭先殺其二孤拘囚其妻妾奴婢并金銀財物送納轅門	Chí thị, văn quan quân chí, tranh tiên sát kì nhị cô, câu tù kì thê thiếp nô tì tịnh kim ngân tài vật tống nạp viên môn.
審刑院副使程旻内密院參知黎文徃會	Thẩm hình viện phó sứ Trình Mân, Nội mật viện tham tri Lê Văn vãng hội.
又命下南策府同知黎舌領兵萬二千餘人會同安󰘊鎮各軍防僃邉事	Hựu mệnh hạ Nam Sách phủ đồng tri Lê Thiệt lĩnh binh vạn nhị thiên dư nhân hội đồng An Bang trấn các quân phòng bị biên sự.
