大越史記本紀全書卷之一	Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhất.
群臣上尊號曰開天綂運尊道貴德聖文廣武崇仁尚善政理民安臣符龍見体元御極億歲功髙應真寶曆松玄至奧興龍大定囱明慈孝皇帝	Quần thần thượng tôn hiệu viết: Khai Thiên Thống Vận Tôn Đạo Quý Đức Thánh Văn Quảng Vũ Sùng Nhân Thượng Thiện Chính Lí Dân An Thần Phù Long Kiến Thể Nguyên Ngự Cực Ức Tuế Công Cao Ứng Chân Bảo Lịch Thông Huyền Chí Áo Hưng Long Đại Định Thông Minh Từ Hiếu Hoàng Đế.
帝以新即位詔𭛁大府錢帛頒賜天下庚申十五日也	Đế dĩ tân tức vị, chiếu phát đại phủ tiền bạch ban tứ thiên hạ [Canh Thân thập ngũ nhật dã].
開國王叛	Khai Quốc Vương phản.
初王居長安府以山川險固因聚亡命刼掠小民太祖終不之知遂養成其惡	Sơ Vương cư Trường Yên phủ, dĩ sơn xuyên hiểm cố, nhân tụ vong mệnh, kiếp lược tiểu dân, Thái Tổ chung bất chi tri, toại dưỡng thành kì ác.
及聞太祖崩武德王被誅意愈不平乃率府兵叛	Cập văn Thái Tổ băng, Võ Đức Vương bị tru, ý dũ bất bình, nãi suất phủ binh phản.
封銅皷山神以王爵立廟時祭仍	Phong Đồng Cổ sơn thần dĩ Vương tước, lập miếu thời tế, nhưng..
行盟禮	hành minh lễ.
先是三王叛前一日帝夢見稱銅皷山神語帝以武德東征翊聖三王作亂速調兵討之	Tiên thị, tam vương phản tiền nhất nhật, Đế mộng kiến xưng Đồng Cổ sơn thần ngữ Đế dĩ Vũ Đức, Đông Chinh, Dực Thánh tam vương tác loạn, tốc điều binh thảo chi.
及𮗓即令警備果驗	Cập giác, tức lệnh cảnh bị, quả nghiệm.
至是詔有司立廟於大羅城右伴聖壽寺後以是月二十五日於廟中築𡊨張旗幟整隊伍懸劎㦸於神位前讀誓書曰為子不孝為臣不忠神明殛之	Chí thị chiếu Hữu ti lập miếu ư Đại La thành hữu bạn, Thánh Thọ tự hậu, dĩ thị nguyệt nhị thập ngũ nhật ư miếu trung trúc đàn, trương kì xí, chỉnh đội ngũ, huyền kiếm kích ư thần vị tiền, độc thệ thư viết: "Vi tử bất hiếu, vi thần bất trung, thần minh cức chi".
群臣自東門入過神位飲血每歲以為常	Quần thần tự đông môn nhập, quá thần vị ẩm huyết, mỗi tuế dĩ vi thường.
後遇三月有國忌展至四月四日	Hậu ngộ tam nguyệt hữu quốc kị, triển chí tứ nguyệt tứ nhật.
复四月帝親征長安府以内侍李仁義留守京師	Hạ, tứ nguyệt, Đế thân chinh Trường Yên phủ, dĩ nội thị Lí Nhân Nghĩa lưu thủ Kinh sư.
壬申至長安	Nhâm Thân chí Trường Yên.
是日開國王降	Thị nhật Khai Quốc Vương hàng.
下令曰敢有虜掠小	Hạ lệnh viết: "Cảm hữu lỗ lược tiểu..
民財貨者斬	dân tài hoá giả trảm".
軍士肃然秋毫無犯	Quân sĩ túc nhiên, thu hào vô phạm.
大軍入長安城城中民餽獻牛酒者填路	Đại quân nhập Trường Yên thành, thành trung dân quỹ hiến ngưu tửu giả điền lộ.
帝遣使諭旨慰勞之舉城大悅	Đế khiển sứ dụ chỉ uý lạo chi, cử thành đại duyệt.
詔徙開國王及其僚屬于昇龍京師	Chiếu tỉ Khai Quốc vương cập kì liêu thuộc vu Thăng Long kinh sư.
還自長安詔免開國王罪復其爵	Hoàn tự Trường Yên, chiếu miễn Khai Quốc vương tội, phục kì tước.
五月六日神人見迹于萬歲寺	Ngũ nguyệt, lục nhật, thần nhân kiến tích vu Vạn Tuế tự.
群臣上言曰太子天下之本本立則天下安	Quần thần thượng ngôn viết: "Thái tử thiên hạ chi bản, bản lập tắc thiên hạ an.
願陛下早攑賢嗣正位東宫以慰天下之望	Nguyện bệ hạ tảo cử hiền tự, chính vị Đông cung, dĩ uý thiên hạ chi vọng".
從之󰀋皇子日尊為東宫太子	Tòng chi, sách Hoàng tử Nhật Tôn vi Đông cung Thái tử.
立皇后七	Lập hoàng hậu thất.
十一月拜枚皇后父祐為安國上將王皇后父杜為輔國上將丁皇后父吳尚為匡國上將	Thập nhất nguyệt, bái Mai Hoàng hậu phụ Hựu vi An Quốc thượng tướng, Vương hoàng hậu phụ Đỗ vi Phụ quốc thượng tướng, Đinh Hoàng hậu phụ Ngô Thượng vi Khuông quốc thượng tướng.
史臣吳士連曰后戚之貴前世有之矣	Sử thần Ngô Sĩ Liên viết: Hậu thích chi quý, tiền thế hữu chi hĩ.
雖以其戚亦以其才也	Tuy dĩ kì thích diệc dĩ kì tài dã.
祐軰果才耶不以后父故用之可也	Hựu bối quả tài da? Bất dĩ Hậu phụ cố dụng chi khả dã.
不才耶厚之以禄可也授封不可也	Bất tài da? Hậu chi dĩ lộc khả dã, thụ phong bất khả dã.
或曰此特寵之以爵非假之以權	Hoặc viết: Thử đặc sủng chi dĩ tước, phi giả chi dĩ quyền.
曰爵之既髙矣安有安國輔國匡國上將軍之號而濫及無功者哉	Viết: Tước chi ký cao hĩ, an hữu An quốc, Phụ quốc, Khuông quốc thượng tướng quân chi hiệu nhi lạm cập vô công giả tai?.
以梁任文為太師吳上丁為太傅陶處中為太保李道紀為左摳密李徹為少師冲新為右摳密李密為左參知政事矯蓬為右參知政事廖嘉貞	Dĩ Lương Nhậm Văn vi Thái sư, Ngô Thượng Đinh vi Thái phó, Đào Xử Trung vi Thái bảo, Lí Đạo Kỷ vi Tả khu mật, Lí Triệt vi Thiếu sư, Xung Tân vi Hữu khu mật, Lí Mật vi Tả tham tri chính sự, Kiểu Bồng vi Hữu tham tri chính sự, Liêu Gia Trinh..
為中書侍郎何遠為左諫議大夫杜讖為右諫議大夫阮光利為太尉譚碎狀為都綂武波斯為威衛上將阮慶為定勝大將陶文雷為左腹心李仁義為右腹心潘唐烈為内侍	vi Trung thư thị lang, Hà Viễn vi Tả gián nghị đại phu, Đỗ Sấm vi Hữu gián nghị đại phu, Nguyễn Quang Lợi vi Thái uý, Đàm Toái Trạng vi Đô thống, Vũ Ba Tu vi Uy vệ thượng tướng, Nguyễn Khánh vi Định thắng đại tướng, Đào Văn Lôi vi Tả phúc tâm, Lí Nhân Nghĩa vi Hữu phúc tâm, Phan Đường Liệt vi Nội thị.
置僧道陛品	Trí tăng đạo bệ phẩm.
置殿前禁軍十衛一曰廣聖二曰廣武三曰衛龍四曰捧日五曰澄海	Trí Điện tiền cấm quân thập vệ: Nhất viết Quảng Thánh; nhị viết Quảng Vũ; tam viết Vệ Long; tứ viết Bổng Nhật; ngũ viết Trừng Hải.
每衛各分為左右直周廬環衛于禁城之内緫謂之十衛	Mỗi vệ các phân vi tả hữu, trực chu lư hoàn vệ vu cấm thành chi nội, tổng vị chi thập vệ.
六月以誕日為天聖節	Lục nguyệt, dĩ đản nhật vi Thiên Thánh tiết.
以竹作萬歲南山于龍墀其制為五峯中峰頂立長壽山左右四峯頂皆置白鶴山山上作鳥獸	Dĩ trúc tác Vạn Tuế Nam Sơn vu Long trì, kì chế vi ngũ phong, trung phong đỉnh lập Trường Thọ sơn, tả hữu tứ phong đỉnh giai trí Bạch Hạc sơn, sơn thượng tác điểu thú..
𢒎走之狀山腰又有神龍蟠繞間植旌旗錯懸金璧使伶人於巖中弄笛吹笙獸𰙔奏舞為娛樂賜群臣宴	bưu tẩu chi trạng, sơn yêu hựu hữu thần long bàn nhiễu, gian thực tinh kì, thố huyền kim bích, sử linh nhân ư nham trung lộng địch, suy sênh thú ca tấu vũ vi ngu lạc, tứ quần thần yến.
五峯之制自此始	Ngũ phong chi chế tự thử thuỷ.
史臣吳士連曰誕辰慶賀大禮也	Sử thần Ngô Sĩ Liên viết: Đản thần khánh hạ đại lễ dã.
臣祝其君君宴其臣君臣和合以通上下之情禮固宜然	Thần chúc kì quân, quân yến kì thần, quân thần hoà hợp dĩ thông thượng hạ chi tình, lễ cố nghi nhiên.
顧帝當䘮而極心目之娛曾不念及先帝之未塟乎惸惸在疚心盖蔑如也	Cố Đế đương tang nhi cực tâm mục chi ngu tằng, bất niệm cập tiên đế chi vị táng hồ? Quỳnh quỳnh tại cứu tâm cái miệt như dã.
冬十月塟天德府壽陵謚曰神武皇帝廟號太祖	Đông, thập nguyệt, táng Thiên Đức phủ Thọ Lăng, thuỵ viết Thần Vũ Hoàng Đế, miếu hiệu Thái Tổ.
黎文休曰夫古者天子既崩安靈柩有陵或號茂陵或號昌陵遣宸章有閣或名顯謨或名寶文	Lê Văn Hưu viết: Phù cổ giả, thiên tử ký băng, an linh cữu hữu lăng, hoặc hiệu Mậu Lăng, hoặc hiệu Xương Lăng; khiển thần chương hữu các, hoặc danh Hiển Mô, hoặc danh Bảo Văn.
今李家歴代陵秪曰壽陵閣秪曰龍圖盖時君不學而儒臣不能潤色或無󰏲古之力也	Kim Lí gia lịch đại, lăng chỉ viết Thọ Lăng; các chỉ viết Long Đồ, cái thời quân bất học, nhi nho thần bất năng nhuận sắc, hoặc vô kê cổ chi lực dã.
史臣吳士連曰李祖之興天啓其祥見於震木之迹	Sử thần Ngô Sĩ Liên viết: Lí Tổ chi hưng, thiên khải kì tường kiến ư chấn mộc chi tích.
德必得位出扵眾人之㱕又當卧朝浮逞暴虐之餘而寬仁素著大之眷求民主民之㱕于有德舍帝將誰適哉觀帝之基命宥密遷都定國仁心愛民至誠感天與夫代叛討乱南北	Đức tất đắc vị, xuất ư chúng nhân chi quy, hựu đương Ngoạ Triều phù sính bạo ngược chi dư, nhi khoan nhân tố trước đại chi, quyến cầu dân chủ, dân chi quy vu hữu đức, xá đế tương thuỳ thích tai? Quan đế chi cơ mệnh hựu mật, thiên đô định quốc, nhân tâm ái dân, chí thành cảm thiên, dữ phu đại phản thảo loạn, Nam Bắc..
通好天下晏然傳祚求世可見其有帝王之畧	thông hảo, thiên hạ yến nhiên, truyền tộ cầu thế, khả kiến kì hữu đế vương chi lược.
惟好佛老一事為之累耳	Duy hiếu Phật Lão nhất sự vi chi luỹ nhĩ.
太宗皇帝	Thái Tông Hoàng Đế.
諱佛瑪一名德政太祖長子也其母皇后黎氏以黎應天七年庚子六月二十六日誕生于長安府太祖受禅立為東宫太子及太祖崩賴奉曉之志勇同心濟難遂即皇帝位五十五歲崩于長春殿	[Huý Phật Mã, nhất danh Đức Chính, Thái Tổ trưởng tử dã. Kì mẫu Hoàng hậu Lê thị, dĩ Lê Ứng Thiên thất niên, Canh Tí lục nguyệt nhị thập lục nhật, đản sinh vu Trường Yên phủ. Thái Tổ thụ thiền, lập vi Đông cung Thái tử. Cập Thái Tổ băng, lại Phụng Hiểu chi chí dũng, đồng tâm tế nạn, toại tức Hoàng đế vị, ngũ thập ngũ tuế, băng vu Trường Xuân điện.
在位二十七年壽帝沉幾先物同符漢光征伐四克比迹唐太	tại vị nhị thập thất niên, thọ Đế trầm cơ tiên vật, đồng phù Hán Quang chinh phạt tứ khắc, tỉ tích Đường Thái.
然君子每以矜大過󰁮責備其賢	Nhiên quân tử mỗi dĩ căng đại quá cử trách bị kì hiền.].
初帝之生也時長安府有民家牛居然自換其角其民以為不祥憂之	Sơ Đế chi sinh dã, thời Trường Yên phủ hữu dân gia ngưu cư nhiên tự hoán kì giác, kì dân dĩ vi bất tường ưu chi.
有善占者過其家笑曰此乃改新之象子何預焉民憂	Hữu thiện chiêm giả quá kì gia, tiếu viết: "Thử nãi cải tân chi tượng, tử hà dự yên!" Dân ưu..
遂解	toại giải.
帝扵項下有七黑子比天七星	Đế ư hạng hạ hữu thất hắc tử, tỉ thiên thất tinh.
為而時與群觀遊䏻自區處使之引翼前後左右如眾官導從之儀	Vi nhi thời, dữ quần quan du năng tự khu xử, sử chi dẫn dực tiền hậu tả hữu như chúng quan đạo tòng chi nghi.
太祖見而悅之因戱曰將家子當效軍旅事安用導從乎帝應之曰導從奚間扵將家子哉而間之何獨不在丁而在黎乎由天之命耳	Thái Tổ kiến nhi duyệt chi, nhân hô viết: "Tướng gia tử đương hiệu quân lữ sự, an dụng đạo tòng hồ?" Đế ứng chi viết: "Đạo tòng khê gian ư tướng gia tử tai? Nhi gian chi hà độc bất tại Đinh nhi tại Lê hồ? Do thiên chi mệnh nhĩ".
太祖驚異由是益竒之	Thái Tổ kinh dị, do thị ích kỷ chi.
受禅之日立為東宫太子	Thụ thiền chi nhật, lập vi Đông cung thái tử.
順天三年封開天王居于外	Thuận Thiên tam niên, phong Khai Thiên vương, cư vu ngoại.
十一年命為元帥擊占城于布政寨	Thập nhất niên, mệnh vi nguyên soái kích Chiêm Thành vu Bố Chính trại.
大軍渡海抵龍鼻山	Đại quân độ hải, để Long Tị sơn,..
黄龍見于帝舟帝獨自負	hoàng long kiến vu Đế chu, Đế độc tự phụ.
及至破之擒其將而還	Cập chí phá chi, cầm kì tướng nhi hoàn.
十九年春三月丙申朔帝以所御衣賜南帝觀道士陳慧隆	Thập cửu niên, xuân tam nguyệt, Bính Thân sóc, Đế dĩ sở ngự y tứ Nam Đế quán đạo sĩ Trần Tuệ Long.
是夜光徹觀内	Thị dạ, quang triệt quán nội.
慧隆驚起視之乃黄龍見于衣架也	Tuệ Long kinh khởi thị chi, nãi hoàng long hiện vu y giá dã.
此皆天之所命至是並符之	Thử giai thiên chi sở mệnh, chí thị tịnh phù chi.
其禀性仁哲頴悞通文武大畧至於禮樂射御書數等藝無不精諳云	Kì bẩm tính nhân triết dĩnh ngộ, thông văn vũ đại lược, chí ư lễ lạc xạ ngự thư số đẳng nghệ, vô bất tinh am vân.
己巳天成二年宋天聖七年	Kỉ Tị, Thiên Thành nhị niên, [Tống Thiên Thánh thất niên].
春二月壬午慶成太祖廟	Xuân, nhị nguyệt, Nhâm Ngọ, khánh thành Thái Tổ miếu.
三月七日以平陽公主嫁諒州牧申紹泰	Tam nguyệt, thất nhật, dĩ Bình Dương công chúa giá Lạng châu mục Thân Thiệu Thái.
愛	Áị.
州但乃甲叛	Châu Đản Nãi Giáp phản.
夏四月朔帝親征但乃甲以東宫太子監國	Hạ, tứ nguyệt, sóc, Đế thân chinh Đản Nãi Giáp, dĩ Đông cung Thái tử giám quốc.
但乃甲既扳遣中使督但乃人開但乃港至自但乃	Đản Nãi Giáp ký ban, khiển Trung sứ đốc Đản Nãi nhân khai Đản Nãi cảng, chí tự Đản Nãi.
神人見跡于勝嚴寺	Thần nhân hiện tích vu Thắng Nghiêm tự.
六月龍見于乾元殿基	Lục nguyệt, long hiện vu Càn Nguyên điện cơ.
帝謂左右曰朕既壞其殿剗其基而神龍猶見	Đế vị tả hữu viết: "Trẫm ký hoại kì điện, sản kì cơ, nhi thần long do hiện.
意者景德龍興之勝地居天地之正中乎令有司廣其規模正其背向重脩之因改天安殿	Ý giả cảnh đức long hưng chi thắng địa, cư thiên địa chi chính trung hồ?" Lệnh Hữu ti quảng kì quy mô, chính kì bối hướng trùng tu chi, nhân cải Thiên An điện.
殿之左起宣德殿右起延福殿殿之前墀名龍墀	Điện chi tả khởi Tuyên Đức điện, hữu khởi Diên Phúc điện, Điện chi tiền trì danh Long Trì.
墀之東置文明殿西置廣武殿墀之左右對立鍾楼以登聞小民󰱃獄寃枉墀之	Trì chi đông trí Văn Minh điện, tây trí Quảng Vũ điện, trì chi tả hữu đối lập chung lâu dĩ đăng văn, tiểu dân thứ ngục oan uổng trì chi.
四圍皆起廊廡以	Tứ vi giai khởi lang vũ dĩ..
聚會百官六軍之宿衛	tụ hội bách quan lục quân chi túc vệ.
前安奉天殿上建正陽樓以為主掌籌刻之處後起長春殿上見龍圖閣以為宴寝逰玩之所	Tiền an Phụng Thiên điện, thượng kiến Chính Dương lâu dĩ vi chủ chưởng trù khắc chi xứ; hậu khởi Trường Xuân điện, thượng kiến Long Đồ các dĩ vi yến tẩm du ngoạn chi sở.
外築周圍城一重名曰龍城	Ngoại trúc chu vi thành nhất trọng, danh viết Long Thành.
秋八月驩州献麒麟	Thu, bát nguyệt, Hoan Châu hiến kì lân.
冬十月朔萬歲寺陛前天雨白米成堆	Đông, thập nguyệt, sóc, Vạn Tuế tự bệ tiền thiên vũ bạch mễ thành đôi.
是歲宋使章頴來吊祭	Thị tuế, Tống sứ Chương Dĩnh lai điếu tế.
又遣使封帝為郡王	Hựu khiển sứ phong Đế vi Quận Vương.
庚午三年宋天聖八年	Canh Ngọ, tam niên [Tống Thiên Thánh bát niên].
春二月起天慶殿于長春殿前為聽政之所	Xuân, nhị nguyệt, khởi Thiên Khánh điện vu Trường Xuân điện tiền vi thính chính chi sở.
其制為八角殿之前後並駕鳳凰橋	Kì chế vi bát giác điện, chi tiền hậu tịnh giá phụng hoàng kiều.
夏四月遣大僚𤤻黎偓佺員外郎阮曰親如宋	Hạ, tứ nguyệt, khiển Đại liêu ban Lê Ốc Thuyên, Viên ngoại lang Nguyễn Viết Thân như Tống..
